x,y
-1.306451612903225534e+00,-2.477797513321491715e+04
-1.290322580645161032e+00,-2.477797513321491715e+04
-1.274193548387096531e+00,-2.477797513321491715e+04
-5.645161290322580072e-01,-5.195381882770871016e+03
-5.483870967741935054e-01,-5.195381882770871016e+03
-5.322580645161290036e-01,-5.195381882770871016e+03
-4.999999999999997780e-01,-1.509769094138543369e+04
-4.838709677419352762e-01,-1.509769094138543369e+04
-4.677419354838707743e-01,-1.509769094138543369e+04
-4.516129032258062725e-01,-2.468916518650088619e+04
-4.354838709677417707e-01,-5.239786856127884676e+03
-4.193548387096772689e-01,-5.239786856127884676e+03
-4.032258064516127671e-01,-5.195381882770871016e+03
-2.096774193548385234e-01,-2.220248667850792117e+02
-1.935483870967740216e-01,-2.220248667850792117e+02
-1.774193548387095198e-01,-2.220248667850792117e+02
-9.677419354838701082e-02,-2.024866785079928741e+04
-8.064516129032250902e-02,-2.024866785079928741e+04
-6.451612903225800721e-02,-2.024866785079928741e+04
-4.838709677419350541e-02,5.772646536412103160e+02
-3.225806451612900361e-02,5.772646536412103160e+02
-1.612903225806450180e-02,5.772646536412103160e+02
8.064516129032250902e-02,6.216696269982239755e+02
9.677419354838701082e-02,6.216696269982239755e+02
1.129032258064515126e-01,5.328596802841930185e+02
1.290322580645160144e-01,-2.220248667850792117e+02
1.451612903225809603e-01,-2.220248667850792117e+02
1.612903225806454621e-01,-2.220248667850792117e+02
1.774193548387099639e-01,-2.220248667850792117e+02
1.935483870967744657e-01,-2.380106571936056571e+04
2.096774193548389675e-01,-2.384547069271758301e+04
2.258064516129034693e-01,-2.384547069271758301e+04
2.419354838709679711e-01,-2.384547069271758301e+04
2.580645161290324729e-01,-2.384547069271758301e+04
2.741935483870969747e-01,-2.384547069271758301e+04
2.903225806451614766e-01,-2.380106571936056571e+04
3.064516129032259784e-01,-2.366785079928951745e+04
3.225806451612904802e-01,-2.366785079928951745e+04
3.387096774193549820e-01,-2.366785079928951745e+04
3.548387096774194838e-01,-2.366785079928951745e+04
3.709677419354839856e-01,-2.375666074600355205e+04
3.870967741935484874e-01,-2.380106571936056571e+04
4.032258064516129892e-01,-2.380106571936056571e+04
4.193548387096774910e-01,-2.384547069271758301e+04
4.354838709677419928e-01,-2.384547069271758301e+04
4.516129032258064946e-01,-2.366785079928951745e+04
4.677419354838709964e-01,-2.366785079928951745e+04
4.838709677419354982e-01,-2.366785079928951745e+04
5.000000000000000000e-01,-2.553285968028418938e+04
5.161290322580645018e-01,-2.553285968028418938e+04
5.322580645161290036e-01,-2.553285968028418938e+04
5.483870967741935054e-01,-2.384547069271758301e+04
5.645161290322580072e-01,-2.384547069271758301e+04
5.806451612903225090e-01,-2.384547069271758301e+04
5.967741935483870108e-01,-2.384547069271758301e+04
6.129032258064515126e-01,-2.384547069271758301e+04
6.290322580645160144e-01,-2.384547069271758301e+04
6.451612903225809603e-01,-2.384547069271758301e+04
6.612903225806454621e-01,-2.380106571936056571e+04
6.774193548387099639e-01,-2.371225577264653475e+04
6.935483870967744657e-01,-2.371225577264653475e+04
7.096774193548389675e-01,-2.371225577264653475e+04
7.258064516129034693e-01,-2.371225577264653475e+04
8.387096774193549820e-01,-2.051509769094138392e+04
8.548387096774194838e-01,-2.051509769094138392e+04
8.709677419354839856e-01,-2.051509769094138392e+04
9.838709677419354982e-01,-9.325044404973341443e+02
1.000000000000000000e+00,-9.325044404973341443e+02
1.016129032258064502e+00,-9.325044404973341443e+02
1.032258064516129004e+00,-9.325044404973341443e+02
1.048387096774193505e+00,-8.436944937833031872e+02
1.064516129032258007e+00,-8.436944937833031872e+02
1.080645161290322509e+00,-8.436944937833031872e+02
1.096774193548387011e+00,-2.366785079928951745e+04
1.112903225806451513e+00,-2.366785079928951745e+04
1.129032258064516014e+00,-2.380106571936056571e+04
1.225806451612903469e+00,-2.193605683836589378e+04
1.241935483870967971e+00,-2.193605683836589378e+04
1.258064516129032473e+00,-2.193605683836589378e+04
1.290322580645161477e+00,-1.065719360568382399e+03
1.306451612903225978e+00,-1.065719360568382399e+03
1.322580645161290480e+00,-1.065719360568382399e+03
1.338709677419354982e+00,-1.252220248667850683e+04
1.354838709677419484e+00,-1.252220248667850683e+04
1.370967741935483986e+00,-1.252220248667850683e+04
1.387096774193548487e+00,-1.110124333925399696e+03
1.403225806451612989e+00,-1.110124333925399696e+03
1.419354838709677491e+00,-1.065719360568382399e+03
1.435483870967741993e+00,-2.033747779751331836e+04
1.451612903225806495e+00,-2.033747779751331836e+04
1.467741935483870996e+00,-2.033747779751331836e+04
1.483870967741935498e+00,-1.154529307282413356e+03
1.500000000000000000e+00,-1.154529307282413356e+03
1.516129032258064502e+00,-1.154529307282413356e+03
1.532258064516129004e+00,-1.154529307282413356e+03
1.548387096774193505e+00,-1.198934280639430654e+03
1.564516129032258007e+00,-1.198934280639430654e+03
1.580645161290322509e+00,-1.198934280639430654e+03
1.596774193548387011e+00,-1.198934280639430654e+03
1.612903225806451513e+00,-1.198934280639430654e+03
1.629032258064516014e+00,-2.189165186500888012e+04
1.645161290322580516e+00,-2.184724689165186282e+04
1.661290322580645018e+00,-2.184724689165186282e+04
1.677419354838709964e+00,-1.243339253996447951e+03
1.693548387096774466e+00,-1.243339253996447951e+03
1.709677419354838968e+00,-1.243339253996447951e+03
1.725806451612903469e+00,-1.287744227353461611e+03
1.741935483870967971e+00,-1.287744227353461611e+03
1.758064516129032473e+00,-2.184724689165186282e+04
1.774193548387096975e+00,-2.184724689165186282e+04
1.790322580645161477e+00,-2.175843694493783187e+04
1.806451612903225978e+00,-2.033747779751331836e+04
1.822580645161290036e+00,-2.033747779751331836e+04
1.838709677419354982e+00,-2.033747779751331836e+04
1.854838709677419040e+00,-1.332149200710478908e+03
1.870967741935483986e+00,-1.376554174067496206e+03
1.887096774193548043e+00,-2.202486678507992474e+04
1.903225806451612989e+00,-2.202486678507992474e+04
1.919354838709677047e+00,-2.202486678507992474e+04
1.935483870967741993e+00,-1.376554174067496206e+03
1.951612903225806939e+00,-1.376554174067496206e+03
1.967741935483870996e+00,-1.420959147424509865e+03
1.983870967741935942e+00,-1.509769094138544460e+03
2.000000000000000000e+00,-2.064831261101243217e+04
2.016129032258064946e+00,-2.064831261101243217e+04
2.032258064516129004e+00,-1.554174067495558120e+03
2.048387096774193949e+00,-1.465364120781527163e+03
2.064516129032258007e+00,-1.465364120781527163e+03
2.080645161290322953e+00,-2.375666074600355205e+04
2.096774193548387011e+00,-2.375666074600355205e+04
2.112903225806451957e+00,-2.202486678507992474e+04
2.129032258064516014e+00,-1.598579040852575417e+03
2.145161290322580960e+00,-2.033747779751331836e+04
2.161290322580645018e+00,-2.020426287744227011e+04
2.177419354838709964e+00,-2.020426287744227011e+04
2.193548387096774022e+00,-1.509769094138544460e+03
2.209677419354838968e+00,-1.265541740674955508e+04
2.225806451612903025e+00,-2.366785079928951745e+04
2.241935483870967971e+00,-2.366785079928951745e+04
2.258064516129032029e+00,-1.598579040852575417e+03
2.274193548387096975e+00,-1.598579040852575417e+03
2.290322580645161032e+00,-1.598579040852575417e+03
2.306451612903225978e+00,-1.642984014209589077e+03
2.322580645161290036e+00,-1.642984014209589077e+03
2.338709677419354982e+00,-1.642984014209589077e+03
2.354838709677419040e+00,-1.642984014209589077e+03
2.370967741935483986e+00,-1.642984014209589077e+03
2.387096774193548043e+00,-1.687388987566606374e+03
2.403225806451612989e+00,-1.731793960923623672e+03
2.419354838709677047e+00,-1.731793960923623672e+03
2.435483870967741993e+00,-1.776198934280637332e+03
2.451612903225806051e+00,-2.371225577264653475e+04
2.467741935483870996e+00,-2.371225577264653475e+04
2.483870967741935942e+00,-2.371225577264653475e+04
2.500000000000000000e+00,-2.029307282415630470e+04
2.516129032258064946e+00,-2.047069271758436662e+04
2.532258064516129004e+00,-2.047069271758436662e+04
2.548387096774193949e+00,-1.181172291296625008e+04
2.564516129032258007e+00,-1.731793960923623672e+03
2.580645161290322953e+00,-1.731793960923623672e+03
2.596774193548387011e+00,-1.776198934280637332e+03
2.612903225806451957e+00,-1.776198934280637332e+03
2.629032258064516014e+00,-1.776198934280637332e+03
2.645161290322580960e+00,-1.185612788632326738e+04
2.661290322580645018e+00,-1.185612788632326738e+04
2.677419354838709964e+00,1.509769094138544460e+03
2.693548387096774022e+00,1.687388987566606374e+03
2.709677419354838968e+00,1.687388987566606374e+03
2.725806451612903025e+00,-1.865008880994671927e+03
2.741935483870967971e+00,-1.865008880994671927e+03
2.758064516129032029e+00,-2.047069271758436662e+04
2.774193548387096975e+00,-2.047069271758436662e+04
2.790322580645161032e+00,-2.047069271758436662e+04
2.806451612903225978e+00,-1.909413854351685586e+03
2.822580645161290036e+00,-1.909413854351685586e+03
2.838709677419354982e+00,-1.909413854351685586e+03
2.854838709677419040e+00,-1.909413854351685586e+03
2.870967741935483986e+00,-1.909413854351685586e+03
2.887096774193548043e+00,-2.175843694493783187e+04
2.903225806451612989e+00,-2.175843694493783187e+04
2.919354838709677047e+00,-2.175843694493783187e+04
2.935483870967741993e+00,-1.953818827708702884e+03
2.951612903225806051e+00,-1.953818827708702884e+03
2.967741935483870996e+00,-1.998223801065720181e+03
2.983870967741935942e+00,-2.042628774422733841e+03
3.000000000000000000e+00,-2.042628774422733841e+03
3.016129032258064946e+00,-2.042628774422733841e+03
3.032258064516129004e+00,-2.042628774422733841e+03
3.048387096774193949e+00,-2.042628774422733841e+03
3.064516129032258007e+00,-2.042628774422733841e+03
3.080645161290322953e+00,-2.087033747779751138e+03
3.096774193548387011e+00,-2.087033747779751138e+03
3.112903225806451957e+00,-2.087033747779751138e+03
3.129032258064516014e+00,-2.131438721136764798e+03
3.145161290322580960e+00,-2.131438721136764798e+03
3.161290322580645018e+00,-2.131438721136764798e+03
3.177419354838709964e+00,-2.131438721136764798e+03
3.193548387096774022e+00,-2.131438721136764798e+03
3.209677419354838968e+00,-2.175843694493782095e+03
3.225806451612903025e+00,-2.175843694493782095e+03
3.241935483870967971e+00,-2.264653641207813052e+03
3.258064516129032029e+00,-2.264653641207813052e+03
3.274193548387096975e+00,-2.264653641207813052e+03
3.290322580645161032e+00,-2.175843694493782095e+03
3.306451612903225978e+00,-2.220248667850799393e+03
3.322580645161290036e+00,-2.220248667850799393e+03
3.338709677419354982e+00,-2.024866785079928741e+04
3.354838709677419040e+00,-2.024866785079928741e+04
3.370967741935483986e+00,-2.024866785079928741e+04
3.387096774193548043e+00,-2.309058614564830350e+03
3.403225806451612989e+00,-2.309058614564830350e+03
3.419354838709677047e+00,-2.353463587921847648e+03
3.435483870967741993e+00,-2.353463587921847648e+03
3.451612903225806051e+00,-2.353463587921847648e+03
3.467741935483870996e+00,-2.442273534635878605e+03
3.483870967741935942e+00,-2.038188277087033566e+04
3.500000000000000000e+00,-2.038188277087033566e+04
3.516129032258064946e+00,-1.301065719360568255e+04
3.532258064516129004e+00,-2.442273534635878605e+03
3.548387096774193949e+00,-2.442273534635878605e+03
3.564516129032258007e+00,-2.486678507992895902e+03
3.580645161290322953e+00,1.598579040852575417e+03
3.596774193548387011e+00,1.598579040852575417e+03
3.612903225806451957e+00,-2.397868561278861307e+03
3.629032258064516014e+00,-2.193605683836589378e+04
3.645161290322580960e+00,-2.193605683836589378e+04
3.661290322580645018e+00,-2.531083481349909562e+03
3.677419354838709964e+00,-2.531083481349909562e+03
3.693548387096774022e+00,-2.531083481349909562e+03
3.709677419354838968e+00,-2.029307282415630470e+04
3.725806451612903025e+00,-2.029307282415630470e+04
3.741935483870967971e+00,-2.033747779751331836e+04
3.758064516129032029e+00,-2.619893428063940519e+03
3.774193548387096975e+00,-2.664298401420957816e+03
3.790322580645161032e+00,-2.664298401420957816e+03
3.806451612903225978e+00,-2.664298401420957816e+03
3.822580645161290036e+00,-2.349023090586145554e+04
3.838709677419354982e+00,-2.349023090586145554e+04
3.854838709677419040e+00,-2.349023090586145554e+04
3.870967741935483986e+00,-2.753108348134988773e+03
3.887096774193548043e+00,-2.753108348134988773e+03
3.903225806451612989e+00,-2.797513321492006071e+03
3.919354838709677047e+00,-2.753108348134988773e+03
3.935483870967741993e+00,-2.753108348134988773e+03
3.951612903225806051e+00,-2.753108348134988773e+03
3.967741935483870996e+00,-2.841918294849023368e+03
3.983870967741935054e+00,-2.841918294849023368e+03
4.000000000000000000e+00,-2.886323268206037028e+03
4.016129032258064946e+00,-2.886323268206037028e+03
4.032258064516129004e+00,-2.841918294849023368e+03
4.048387096774193949e+00,-2.886323268206037028e+03
4.064516129032258007e+00,-2.886323268206037028e+03
4.080645161290322953e+00,-2.975133214920071623e+03
4.096774193548387011e+00,-2.975133214920071623e+03
4.112903225806451957e+00,-2.975133214920071623e+03
4.129032258064516014e+00,-2.930728241563054326e+03
4.145161290322580960e+00,-2.930728241563054326e+03
4.161290322580645018e+00,-2.975133214920071623e+03
4.177419354838709964e+00,-3.063943161634102580e+03
4.193548387096774022e+00,-3.063943161634102580e+03
4.209677419354838968e+00,-3.108348134991119878e+03
4.225806451612903025e+00,-2.180284191829484917e+04
4.241935483870967971e+00,-2.180284191829484917e+04
4.258064516129032029e+00,-2.180284191829484917e+04
4.274193548387096975e+00,-3.197158081705150835e+03
4.290322580645161032e+00,-3.197158081705150835e+03
4.306451612903225978e+00,-3.241563055062164494e+03
4.322580645161290036e+00,-3.241563055062164494e+03
4.338709677419354982e+00,-3.285968028419181792e+03
4.354838709677419040e+00,-3.152753108348133537e+03
4.370967741935483986e+00,-3.152753108348133537e+03
4.387096774193548043e+00,-3.197158081705150835e+03
4.403225806451612989e+00,-3.330373001776199089e+03
4.419354838709677047e+00,-3.374777975133212749e+03
4.435483870967741993e+00,-3.419182948490230046e+03
4.451612903225806051e+00,-3.463587921847247344e+03
4.467741935483870996e+00,-3.463587921847247344e+03
4.483870967741935054e+00,1.776198934280640970e+03
4.500000000000000000e+00,1.776198934280640970e+03
4.516129032258064058e+00,1.776198934280640970e+03
4.532258064516129004e+00,-3.507992895204261004e+03
4.548387096774193949e+00,-3.507992895204261004e+03
4.564516129032258007e+00,-3.552397868561278301e+03
4.580645161290322953e+00,-3.552397868561278301e+03
4.596774193548387011e+00,-3.596802841918295599e+03
4.612903225806451957e+00,1.865008880994671927e+03
4.629032258064516014e+00,1.820603907637654629e+03
4.645161290322580960e+00,1.820603907637654629e+03
4.661290322580645018e+00,-1.367673179396092200e+04
4.677419354838709964e+00,-2.353463587921846920e+04
4.693548387096774022e+00,-2.353463587921846920e+04
4.709677419354838968e+00,-3.730017761989340215e+03
4.725806451612903025e+00,-3.774422735346357513e+03
4.741935483870967971e+00,-3.818827708703374810e+03
4.758064516129032029e+00,-3.863232682060388470e+03
4.774193548387096975e+00,-3.907637655417405767e+03
4.790322580645161032e+00,-3.907637655417405767e+03
4.806451612903225978e+00,-3.907637655417405767e+03
4.822580645161290036e+00,-3.952042628774423065e+03
4.838709677419354982e+00,-3.996447602131436724e+03
4.854838709677419040e+00,-3.996447602131436724e+03
4.870967741935483986e+00,-4.040852575488454022e+03
4.887096774193548043e+00,-4.040852575488454022e+03
4.903225806451612989e+00,-4.085257548845471320e+03
4.919354838709677047e+00,-4.129662522202484979e+03
4.935483870967741993e+00,-4.129662522202484979e+03
4.951612903225806051e+00,-4.174067495559502277e+03
4.967741935483870996e+00,-4.174067495559502277e+03
4.983870967741935054e+00,-4.218472468916515936e+03
5.000000000000000000e+00,-4.174067495559502277e+03
5.016129032258064058e+00,-4.218472468916515936e+03
5.032258064516129004e+00,-4.262877442273533234e+03
5.048387096774193949e+00,-4.351687388987564191e+03
5.064516129032258007e+00,-4.396092362344581488e+03
5.080645161290322953e+00,-4.440497335701598786e+03
5.096774193548387011e+00,-4.440497335701598786e+03
5.112903225806451957e+00,-4.484902309058612445e+03
5.129032258064516014e+00,-4.484902309058612445e+03
5.145161290322580960e+00,-4.529307282415629743e+03
5.161290322580645018e+00,-4.573712255772647040e+03
5.177419354838709964e+00,-4.618117229129660700e+03
5.193548387096774022e+00,-4.618117229129660700e+03
5.209677419354838968e+00,-4.662522202486677998e+03
5.225806451612903025e+00,1.731793960923623672e+03
5.241935483870967971e+00,1.731793960923623672e+03
5.258064516129032029e+00,1.731793960923623672e+03
5.274193548387096975e+00,-4.795737122557726252e+03
5.290322580645161032e+00,-4.973357015985788166e+03
5.306451612903225978e+00,-5.017761989342805464e+03
5.322580645161290036e+00,-5.062166962699822761e+03
5.338709677419354982e+00,-4.973357015985788166e+03
5.354838709677419040e+00,-4.973357015985788166e+03
5.370967741935483986e+00,-5.017761989342805464e+03
5.387096774193548043e+00,-5.062166962699822761e+03
5.403225806451612989e+00,-5.106571936056836421e+03
5.419354838709677047e+00,-5.150976909413853718e+03
5.435483870967741993e+00,-5.195381882770871016e+03
5.451612903225806051e+00,-5.195381882770871016e+03
5.467741935483870996e+00,-5.239786856127884676e+03
5.483870967741935054e+00,-5.284191829484901973e+03
5.500000000000000000e+00,-5.328596802841915633e+03
5.516129032258064058e+00,-5.373001776198932930e+03
5.532258064516129004e+00,-5.417406749555950228e+03
5.548387096774193949e+00,-5.461811722912963887e+03
5.564516129032258007e+00,-5.461811722912963887e+03
5.580645161290322953e+00,-5.506216696269981185e+03
5.596774193548387011e+00,-5.595026642984012142e+03
5.612903225806451957e+00,-5.728241563055060396e+03
5.629032258064516014e+00,-5.772646536412077694e+03
5.645161290322580960e+00,-5.772646536412077694e+03
5.661290322580645018e+00,-5.861456483126108651e+03
5.677419354838709964e+00,-5.905861456483125949e+03
5.693548387096774022e+00,-5.950266429840139608e+03
5.709677419354838968e+00,-5.950266429840139608e+03
5.725806451612903025e+00,-6.127886323268205160e+03
5.741935483870967971e+00,-6.172291296625222458e+03
5.758064516129032029e+00,-6.216696269982236117e+03
5.774193548387096975e+00,-6.127886323268205160e+03
5.790322580645161032e+00,-2.131438721136764798e+03
5.806451612903225978e+00,-5.994671403197156906e+03
5.822580645161290036e+00,-6.127886323268205160e+03
5.838709677419354094e+00,-6.394316163410301670e+03
5.854838709677419928e+00,-6.438721136767315329e+03
5.870967741935483986e+00,-6.394316163410301670e+03
5.887096774193548043e+00,-6.483126110124332627e+03
5.903225806451612101e+00,-6.527531083481349924e+03
5.919354838709677935e+00,-6.571936056838363584e+03
5.935483870967741993e+00,-6.660746003552398179e+03
5.951612903225806051e+00,-6.527531083481349924e+03
5.967741935483870108e+00,-6.571936056838363584e+03
5.983870967741935942e+00,-6.616341030195380881e+03
6.000000000000000000e+00,-6.882770870337477390e+03
6.016129032258064058e+00,-6.927175843694491050e+03
6.032258064516128115e+00,-7.015985790408525645e+03
6.048387096774193949e+00,-7.060390763765539305e+03
6.064516129032258007e+00,-7.104795737122556602e+03
6.080645161290322065e+00,-7.193605683836587559e+03
6.096774193548387899e+00,-7.238010657193604857e+03
