x,y
4.677060133630295269e-02,-4.920212765957694501e+01
5.456570155901996344e-02,-4.920212765957694501e+01
6.236080178173719624e-02,-4.920212765957694501e+01
7.015590200445442903e-02,-4.920212765957694501e+01
7.795100222717143978e-02,-9.840425531914661406e+01
8.574610244988867258e-02,-9.840425531914661406e+01
9.354120267260590538e-02,-9.840425531914661406e+01
1.013363028953229161e-01,-9.840425531914661406e+01
1.091314031180401489e-01,-9.840425531914661406e+01
1.169265033407571597e-01,-9.840425531914661406e+01
1.247216035634743925e-01,-9.840425531914661406e+01
1.325167037861916253e-01,-9.840425531914661406e+01
1.403118040089086360e-01,-1.476063829787235591e+02
1.481069042316258688e-01,-1.476063829787235591e+02
1.559020044543428796e-01,-1.476063829787235591e+02
1.636971046770601124e-01,-1.476063829787235591e+02
1.714922048997773452e-01,-1.968085106383005041e+02
1.792873051224943559e-01,-1.968085106383005041e+02
1.870824053452115887e-01,-1.968085106383005041e+02
1.948775055679288215e-01,-1.968085106383005041e+02
2.026726057906458323e-01,-1.968085106383005041e+02
2.104677060133630651e-01,-2.460106382978701731e+02
2.182628062360802979e-01,-2.460106382978701731e+02
2.260579064587973086e-01,-2.460106382978701731e+02
2.338530066815145414e-01,-2.460106382978701731e+02
2.416481069042315522e-01,-2.460106382978701731e+02
2.494432071269487849e-01,-2.952127659574471181e+02
2.572383073496660177e-01,-2.952127659574471181e+02
2.650334075723830285e-01,-2.952127659574471181e+02
2.728285077951002613e-01,-2.952127659574471181e+02
2.806236080178172720e-01,-3.444148936170240631e+02
2.884187082405345048e-01,-3.444148936170240631e+02
2.962138084632517376e-01,-3.444148936170240631e+02
3.040089086859687484e-01,-3.444148936170240631e+02
3.118040089086859812e-01,-3.444148936170240631e+02
3.195991091314032140e-01,-3.936170212765937322e+02
3.273942093541202247e-01,-3.936170212765937322e+02
3.351893095768374575e-01,-3.936170212765937322e+02
3.429844097995546903e-01,-3.936170212765937322e+02
3.507795100222717011e-01,-4.428191489361706772e+02
3.585746102449889339e-01,-4.428191489361706772e+02
3.663697104677059446e-01,-4.428191489361706772e+02
3.741648106904231774e-01,-4.428191489361706772e+02
3.819599109131404102e-01,-4.428191489361706772e+02
3.897550111358574210e-01,-4.920212765957476222e+02
3.975501113585746538e-01,-4.920212765957476222e+02
4.053452115812916645e-01,-4.920212765957476222e+02
4.131403118040088973e-01,-4.920212765957476222e+02
4.209354120267261301e-01,-5.412234042553172912e+02
4.287305122494431409e-01,-5.412234042553172912e+02
4.365256124721603737e-01,-5.412234042553172912e+02
4.443207126948776065e-01,-5.412234042553172912e+02
4.521158129175946172e-01,-5.412234042553172912e+02
4.599109131403118500e-01,-5.904255319148942363e+02
4.677060133630290828e-01,-5.904255319148942363e+02
4.755011135857460935e-01,-5.904255319148942363e+02
4.832962138084633263e-01,-5.904255319148942363e+02
4.910913140311803371e-01,-5.904255319148942363e+02
4.988864142538975699e-01,-6.396276595744711813e+02
5.066815144766148027e-01,-6.396276595744711813e+02
5.144766146993318134e-01,-6.396276595744711813e+02
5.222717149220490462e-01,-6.396276595744711813e+02
5.300668151447660570e-01,-6.888297872340408503e+02
5.378619153674832898e-01,-6.888297872340408503e+02
5.456570155902005226e-01,-6.888297872340408503e+02
5.534521158129175333e-01,-6.888297872340408503e+02
5.612472160356347661e-01,-6.888297872340408503e+02
5.690423162583519989e-01,-7.380319148936177953e+02
5.768374164810690097e-01,-7.380319148936177953e+02
5.846325167037862425e-01,-7.380319148936177953e+02
5.924276169265034753e-01,-7.380319148936177953e+02
6.002227171492204860e-01,-7.872340425531947403e+02
6.080178173719377188e-01,-7.872340425531947403e+02
6.158129175946547296e-01,-7.872340425531947403e+02
6.236080178173719624e-01,-7.872340425531947403e+02
