x, error_percent
9.424451998593366131e-01,8.484714078929894754e+01
9.590317664986520718e-01,7.559027189737307140e+01
9.756183331379675305e-01,4.588345445850113435e+01
9.922048997772828782e-01,4.246124620060828647e+01
1.008791466416598226e+00,4.246124620060828647e+01
1.025378033055913907e+00,4.531761203921682579e+01
1.041964599695229143e+00,5.671995846047748557e+01
1.058551166334544602e+00,6.328891377379589755e+01
1.075137732973860061e+00,6.912066069428891524e+01
1.091724299613175519e+00,9.134806764178297556e+01
1.108310866252490978e+00,9.376342261785956111e+01
1.124897432891806437e+00,9.378941760494072355e+01
1.141483999531121896e+00,9.352633774589716609e+01
1.158070566170437354e+00,9.343730193357957603e+01
1.174657132809752813e+00,9.313113068510153880e+01
1.191243699449068272e+00,9.303398724056232538e+01
1.207830266088383508e+00,9.272486755153020965e+01
1.224416832727698967e+00,9.260719279944191840e+01
1.241003399367014426e+00,9.237386941166337806e+01
1.257589966006329885e+00,9.237386941166337806e+01
1.274176532645645343e+00,8.527229059717650728e+01
1.290763099284960802e+00,6.158798758865261647e+01
1.307349665924276261e+00,6.488570162107438932e+01
1.323936232563591719e+00,1.268459457201808682e+01
1.340522799202907178e+00,8.585491172476231725e+01
1.357109365842222637e+00,8.546199260600575087e+01
1.373695932481537874e+00,8.281249708999541781e+01
1.390282499120853332e+00,6.842085106382972981e+01
1.406869065760168791e+00,6.995645575372506642e+01
1.423455632399484250e+00,6.783392313235916049e+01
1.440042199038799708e+00,9.056479373780544506e+01
1.456628765678115167e+00,9.035560755693936130e+01
1.473215332317430626e+00,8.576711629716726293e+01
1.489801898956746085e+00,7.472810965630146995e+01
1.506388465596061543e+00,7.472810965630146995e+01
1.522975032235377002e+00,7.633023793116224454e+01
1.539561598874692461e+00,7.592582551002290359e+01
1.556148165514007697e+00,7.495240761478174818e+01
1.572734732153323156e+00,7.646434200157597161e+01
1.589321298792638615e+00,7.646434200157597161e+01
1.605907865431954074e+00,8.056816390858956822e+01
1.622494432071269532e+00,8.396845105229925821e+01
1.639080998710584991e+00,8.987332097356566862e+01
1.655667565349900450e+00,8.986556175402178326e+01
1.672254131989215908e+00,7.113734389584716666e+01
1.688840698628531367e+00,8.203381458966539697e+01
1.705427265267846826e+00,8.512821091482510383e+01
1.722013831907162285e+00,8.104556874075485950e+01
1.738600398546477521e+00,8.339838591342673624e+01
1.755186965185792980e+00,8.700881321166255589e+01
1.771773531825108439e+00,8.912389359165948122e+01
1.788360098464423897e+00,8.892518091790635992e+01
1.804946665103739356e+00,8.809036422256973253e+01
1.821533231743054815e+00,8.790358171513517505e+01
1.838119798382370274e+00,8.790358171513517505e+01
1.854706365021685732e+00,6.862556702367783146e+01
1.871292931661001191e+00,4.012623707004496509e+01
1.887879498300316650e+00,8.838353637611531610e+01
1.904466064939632108e+00,8.838353637611531610e+01
1.921052631578947345e+00,8.686380811987409345e+01
1.937639198218262804e+00,8.943771448181188077e+01
1.954225764857578262e+00,9.093923896759855552e+01
1.970812331496893721e+00,8.478189051611035154e+01
1.987398898136209180e+00,5.252968284467415572e+01
2.003985464775524861e+00,8.689424616792497602e+01
2.020572031414840097e+00,8.234739913216513685e+01
2.037158598054155334e+00,8.041749513246959680e+01
2.053745164693471015e+00,8.959488906017487864e+01
2.070331731332786251e+00,7.048766318432430467e+01
2.086918297972101932e+00,8.819480015907733161e+01
2.103504864611417169e+00,8.761081080424855827e+01
2.120091431250732850e+00,7.791493684377340401e+01
2.136677997890048086e+00,7.230426443813956894e+01
2.153264564529363767e+00,8.567909849444347969e+01
2.169851131168679004e+00,8.538859013327096648e+01
2.186437697807994240e+00,6.972634673968211416e+01
2.203024264447309921e+00,6.298703367626193739e+01
2.219610831086625158e+00,8.455920340603793761e+01
2.236197397725940839e+00,8.713764529382615365e+01
2.252783964365256075e+00,6.542887770327307351e+01
2.269370531004571756e+00,9.122113017472773322e+01
2.285957097643886993e+00,9.390558510638319945e+01
2.302543664283202673e+00,9.106440644476192858e+01
2.319130230922517910e+00,9.165957446808529596e+01
2.335716797561833591e+00,9.165957446808529596e+01
2.352303364201148828e+00,9.465425531914927149e+01
2.368889930840464064e+00,9.465425531914927149e+01
2.385476497479779745e+00,9.295775330188598673e+01
2.402063064119094982e+00,8.786034603250611497e+01
2.418649630758410662e+00,9.035420076377512544e+01
